year,average_rent,vacancy_rate,rent_lag1,vacancy_lag1
2001,657.0,0.9,603.0,1.3
2002,710.0,1.6,657.0,0.9
2003,723.0,3.5,710.0,1.6
2004,729.0,5.2,723.0,3.5
2005,732.0,4.3,729.0,5.2
2006,810.0,1.1,732.0,4.3
2007,964.0,1.5,810.0,1.1
2008,1037.0,2.5,964.0,1.5
2009,1016.0,4.4,1037.0,2.5
2010,1020.0,4.1,1016.0,4.4
2011,1037.0,3.3,1020.0,4.1
2012,1074.0,1.7,1037.0,3.3
2013,1144.0,1.4,1074.0,1.7
2014,1230.0,1.7,1144.0,1.4
2015,1261.0,4.3,1230.0,1.7
2016,1232.0,7.1,1261.0,4.3
2017,1216.0,6.9,1232.0,7.1
2018,1246.0,5.3,1216.0,6.9
2019,1258.0,4.9,1246.0,5.3
2020,1270.0,6.8,1258.0,4.9
2021,1271.0,6.9,1270.0,6.8
2022,1303.0,4.1,1271.0,6.9
2023,1398.0,2.3,1303.0,4.1
2024,1529.0,3.0,1398.0,2.3
2025,1598.0,3.8,1529.0,3.0
