"Canada Mortgage and Housing Corporation, vacancy rates, row and apartment structures of three units and over, privately initiated in census metropolitan areas, weighted average 1 2 3"
"Frequency: Annual"
"Table: 34-10-0130-01 (formerly CANSIM 027-0035)"
"Release date: 2025-12-17"
"Geography: Census metropolitan area, Census metropolitan area part"
""
""

"Geography","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
,"Rate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Census metropolitan areas","4.7","4.8","4.5","4.3","4.3","4.1","3.4","2.6","1.6","1.2","1.7","2.3","2.8","2.8","2.6","2.6","2.2","2.9","2.7","2.3","2.6","2.7","2.8","3.3","3.4","2.7","2.2","2.0","3.1","3.1","1.9","1.5","2.2","3.1"
"Abbotsford-Mission, British Columbia","1.6","2.4","2.9","7.5","6.0","5.0","7.2","6.8","3.6","2.4","2.0","2.6","2.8","4.1","1.9","2.4","3.0","6.2","6.7","6.5","4.2","3.1","3.0","0.8","0.7","0.2","0.9","1.2","0.6","1.5","2.0","1.1","1.3","3.1"
"Barrie, Ontario","1.0","2.0","2.0","1.0","2.0","1.0","1.0","1.0","1.0","1.0","2.0","4.0","4.0","3.0","3.0","3.1","3.5","3.7","3.2","1.8","2.2","3.0","1.7","1.9","2.6","2.8","3.1","3.2","2.3","1.9","2.2","2.7","3.4","4.2"
"Brantford, Ontario","3.0","4.0","3.0","3.0","7.0","5.0","5.0","2.0","3.0","2.0","2.0","3.0","2.0","2.0","2.0","2.9","2.4","3.5","3.9","1.8","3.2","2.9","2.3","2.3","2.2","1.3","1.4","2.4","2.0","1.9","1.3","1.9","2.2","3.2"
"Calgary, Alberta","5.5","5.9","5.1","3.6","1.5","0.5","0.6","2.7","1.2","1.2","2.8","4.4","4.3","1.7","0.5","1.6","2.2","5.3","3.6","2.0","1.3","1.0","1.4","5.1","7.0","6.3","3.9","4.0","6.3","4.9","2.6","1.4","4.6","4.9"
"Edmonton, Alberta","3.8","6.2","8.7","9.7","7.4","4.5","1.8","2.1","1.3","0.9","1.6","3.5","5.2","4.3","1.1","1.5","2.5","4.4","4.1","3.3","1.7","1.4","1.7","4.3","7.1","6.9","5.3","4.9","6.8","6.9","4.1","2.3","3.0","3.8"
"Greater Sudbury, Ontario","2.4","3.7","4.1","5.8","6.8","7.5","9.4","11.2","8.5","6.0","5.1","3.4","2.4","1.6","1.2","0.6","0.7","2.8","2.9","2.7","2.5","3.2","4.1","3.5","5.3","4.3","2.6","2.1","2.4","1.6","2.1","1.1","1.4","1.1"
"Guelph, Ontario","10.0","9.0","8.0","8.0","6.0","8.0","5.0","5.0","2.0","3.0","3.0","2.0","2.0","2.0","2.0","2.6","2.4","4.2","3.2","1.2","1.4","1.8","1.3","1.1","0.9","1.2","1.4","1.9","2.1","1.9","1.4","1.3","1.8","2.9"
"Halifax, Nova Scotia","5.7","6.3","7.2","7.7","8.6","7.7","5.5","3.6","3.6","2.8","2.7","2.3","2.9","3.3","3.2","3.1","3.4","2.9","2.5","2.4","3.0","3.2","3.8","3.4","2.6","2.3","1.6","1.0","1.9","1.0","1.0","1.0","2.1","2.6"
"Hamilton, Ontario","2.3","2.8","2.4","2.1","2.4","3.2","3.3","1.8","1.6","1.3","1.6","3.0","3.5","4.2","4.2","3.6","3.1","4.0","3.7","3.3","3.4","3.4","2.2","3.4","3.6","2.3","3.1","3.8","3.4","2.8","1.9","2.1","2.4","3.5"
"Kelowna, British Columbia","0.0","1.0","2.0","3.0","4.0","4.0","4.0","2.0","2.0","1.0","2.0","2.0","1.0","1.0","1.0","0.1","0.3","3.4","3.4","3.1","4.0","1.9","1.0","0.7","0.6","0.4","1.8","2.6","2.1","0.6","1.3","1.3","3.6","6.3"
"Kingston, Ontario","2.0","2.6","3.0","3.1","4.2","5.4","5.4","3.4","1.8","1.4","0.9","2.0","2.4","2.4","2.3","3.2","1.3","1.3","1.0","1.0","1.6","2.3","1.9","2.8","2.7","0.7","0.6","2.0","3.1","1.4","1.2","0.8","2.8","2.4"
"Kitchener-Cambridge-Waterloo, Ontario","4.4","4.4","2.9","2.4","2.3","2.1","1.6","1.0","0.8","0.9","2.2","3.2","3.5","3.3","3.4","2.9","1.9","3.4","2.6","1.8","2.6","3.0","2.4","2.5","2.3","1.9","3.0","2.0","2.0","2.0","1.2","2.1","3.5","4.0"
"London, Ontario","3.5","3.8","3.9","4.1","5.9","5.2","4.5","3.5","2.2","1.7","1.9","2.2","3.7","4.1","3.6","3.7","4.0","5.1","4.8","3.9","3.8","3.3","2.9","2.9","2.1","1.8","2.3","1.8","3.2","1.8","1.6","1.7","2.8","3.8"
"Moncton, New Brunswick","3.0","3.0","6.0","5.0","5.0","5.0","6.0","4.0","2.0","2.0","2.0","3.0","5.0","5.0","6.0","4.2","2.3","3.8","4.2","4.4","6.6","9.1","8.6","7.4","5.9","4.5","2.9","2.2","2.8","1.5","1.7","1.2","1.5","3.8"
"Montréal excluding Saint-Jérôme, Quebec (Terminated)","7.7t","7.7t","6.8t","6.1t","5.7t","5.9t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t","..t"
"Montréal, Quebec","..","..","..","..","..","..","4.7","3.0","1.5","0.6","0.7","1.0","1.5","2.0","2.7","2.9","2.4","2.5","2.7","2.5","2.8","2.8","3.4","4.0","3.9","2.8","1.9","1.5","2.7","3.0","2.0","1.5","2.1","2.9"
"Oshawa, Ontario","6.0","4.6","3.2","2.7","4.1","2.5","2.0","1.6","1.7","1.3","2.3","3.0","3.5","3.2","4.1","3.8","4.1","4.1","3.0","1.7","2.1","2.0","1.8","1.7","1.7","2.0","2.6","2.3","2.1","2.1","2.5","1.5","3.5","3.6"
"Ottawa-Gatineau, Ontario/Quebec","1.7","2.2","3.3","4.6","5.5","5.1","3.0","1.5","0.5","0.8","1.6","2.6","3.5","3.3","2.9","2.4","1.6","1.8","1.9","1.7","2.9","3.5","3.6","4.0","3.8","2.2","1.5","1.7","3.2","2.8","1.9","1.9","2.3","3.1"
"Ottawa-Gatineau, Ontario part, Ontario/Quebec","1.2","1.6","2.5","3.6","4.9","4.0","2.0","0.7","0.2","0.8","1.9","3.0","4.0","3.4","2.5","2.3","1.5","1.7","1.7","1.5","2.7","3.0","2.8","3.5","3.1","1.7","1.6","1.8","3.8","3.5","2.2","2.2","2.5","2.9"
"Ottawa-Gatineau, Quebec part, Ontario/Quebec","3.7","4.5","6.5","8.3","7.7","9.4","6.7","4.4","1.5","0.6","0.5","1.2","2.1","3.1","4.2","2.9","1.9","2.2","2.5","2.2","3.3","5.0","6.5","5.9","6.2","3.8","1.2","1.5","1.6","1.0","0.8","1.0","1.9","3.8"
"Peterborough, Ontario","4.0","5.0","4.0","3.0","6.0","6.0","5.0","5.0","3.0","4.0","3.0","1.0","2.0","3.0","3.0","2.8","2.4","5.8","4.2","3.4","2.7","5.0","3.1","3.6","1.2","1.1","1.5","2.0","2.6","1.0","1.0","1.0","3.3","3.3"
"Québec, Quebec","6.3","6.0","6.9","6.0","6.5","6.6","5.2","3.4","1.6","0.8","0.3","0.5","1.1","1.4","1.5","1.2","0.6","0.6","1.0","1.6","2.0","2.3","3.1","4.0","4.9","4.5","3.3","2.4","2.7","2.5","1.5","0.9","0.9","2.4"
"Regina, Saskatchewan","3.6","3.7","3.1","2.2","1.9","1.5","1.6","1.4","1.4","2.0","1.9","1.9","2.8","3.2","3.2","1.7","0.5","0.6","1.0","0.6","0.9","1.8","3.0","5.3","5.4","6.9","7.4","7.6","7.2","6.8","3.0","1.4","2.7","2.6"
"St. Catharines-Niagara, Ontario","3.4","4.9","5.7","5.2","5.5","5.4","4.5","3.4","2.7","2.0","2.4","2.7","2.8","2.8","4.3","4.0","4.4","4.5","4.5","3.4","4.0","4.2","3.6","2.8","2.2","1.4","2.5","2.3","2.6","1.8","2.9","2.7","3.6","3.8"
"St. John's, Newfoundland and Labrador","5.9","8.6","7.2","11.0","15.9","16.3","15.3","9.1","3.7","2.7","2.7","1.9","3.1","4.5","5.1","2.6","0.8","0.9","1.2","1.5","2.9","3.2","4.6","4.7","7.6","7.1","6.2","6.8","7.3","3.3","3.0","1.7","2.0","2.1"
"Saguenay, Quebec","7.1","6.3","6.3","6.0","5.4","4.1","4.8","4.8","4.4","4.4","4.9","5.2","5.3","4.5","4.2","2.8","1.6","1.5","1.8","1.4","2.0","2.9","4.2","7.1","7.0","6.8","5.0","3.7","2.8","1.7","0.9","1.3","1.6","1.3"
"Saint John, New Brunswick","6.0","6.3","7.9","8.6","9.0","8.2","7.2","5.2","3.4","5.6","6.3","5.2","5.8","5.7","6.7","5.2","3.1","3.5","5.1","5.9","9.6","11.4","9.0","8.4","8.3","4.6","3.7","3.3","3.0","2.1","1.7","2.3","3.9","2.1"
"Saskatoon, Saskatchewan","4.3","2.7","1.8","1.0","0.7","1.0","0.9","0.9","1.7","2.9","3.7","4.4","6.4","4.6","3.0","0.7","1.9","1.8","2.5","2.6","2.5","2.8","3.4","6.3","10.1","9.4","8.1","5.6","5.7","4.6","3.2","2.0","2.1","3.1"
"Sherbrooke, Quebec","9.3","7.6","7.9","6.2","6.6","7.5","7.3","7.6","4.7","2.3","1.8","0.7","0.9","1.2","1.2","2.4","2.8","3.9","4.6","4.6","5.0","5.3","5.4","5.8","6.4","5.2","2.6","2.3","1.3","0.9","0.9","1.3","1.4","2.7"
"Thunder Bay, Ontario","2.4","2.8","4.2","6.1","5.5","8.0","9.3","7.7","5.7","5.8","4.7","3.3","5.0","4.9","5.2","4.1","2.9","3.2","2.4","1.6","1.4","2.8","2.4","4.4","5.2","3.3","5.1","3.6","4.0","3.5","1.8","2.9","3.0","3.9"
"Toronto, Ontario","2.2","2.0","1.3","0.8","1.2","0.8","0.8","0.9","0.6","0.9","2.5","3.8","4.4","3.8","3.2","3.2","2.0","3.1","2.1","1.4","1.7","1.7","1.6","1.6","1.4","1.1","1.1","1.5","3.4","4.5","1.6","1.4","2.5","3.0"
"Trois-Rivières, Quebec","7.0","6.5","7.4","7.3","8.0","8.6","8.5","7.9","6.8","4.7","3.0","1.5","1.2","1.5","1.0","1.5","1.7","2.7","3.9","3.8","5.2","5.1","5.2","6.0","6.1","4.6","3.9","2.3","1.3","0.9","0.9","0.4","0.9","2.7"
"Vancouver, British Columbia","1.6","1.1","0.8","1.2","1.1","1.7","2.7","2.6","1.4","1.0","1.4","2.0","1.3","1.4","0.8","0.8","0.6","2.2","1.9","1.4","1.8","1.7","1.0","0.8","0.7","0.9","1.0","1.1","2.6","1.2","0.9","0.9","1.6","3.7"
"Victoria, British Columbia","1.5","1.8","1.9","3.3","4.1","3.4","3.8","3.5","1.8","0.5","1.5","1.1","0.7","0.5","0.5","0.5","0.4","1.4","1.5","2.1","2.8","2.8","1.5","0.7","0.5","0.7","1.1","1.0","2.2","1.0","1.5","1.6","2.5","3.3"
"Windsor, Ontario","3.3","2.6","1.6","1.8","2.8","4.5","4.3","2.7","1.9","2.8","3.9","4.4","8.8","10.1","10.4","12.9","14.5","13.0","10.9","8.3","7.2","6.1","4.5","3.8","2.8","2.4","2.9","2.8","3.5","3.4","1.8","2.1","3.2","3.6"
"Winnipeg, Manitoba","6.1","5.8","5.6","5.4","6.0","5.8","4.0","3.0","2.0","1.4","1.2","1.3","1.1","1.7","1.4","1.5","1.0","1.1","0.8","1.1","1.7","2.5","2.5","2.9","2.8","2.8","2.9","3.0","3.8","5.0","2.7","1.8","1.7","2.8"

Symbol legend:
.., not available for a specific reference period




Footnotes:
1,"Geographical areas modified every 5 years to reflect most recent census definitions, therefore, data are not strictly comparable historically."
2,"These data are obtained from Canada Mortgage and Housing Corporation (CMHC) and are provided subject to <a href="https://www.cmhc-schl.gc.ca/en/data-and-research/cmhc-licence-agreement-use-of-data" rel="external noopener noreferrer" target="_blank"> CMHC Licence Agreement for the Use of Data (opens new window)</a>."
3,"For additional information and definitions, refer to <a href=" https://www03.cmhc-schl.gc.ca/hmip-pimh/en/TableMapChart/ScsMasMethodology" rel="external noopener noreferrer" target="_blank"> CMHC Starts and Completions Survey Methodology and Definitions (opens new window)</a>."



"How to cite: Statistics Canada. Table 34-10-0130-01  Canada Mortgage and Housing Corporation, vacancy rates, row and apartment structures of three units and over, privately initiated in census metropolitan areas, weighted average"
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3410013001
